nuclides,reactions,groups,xs
Ne22,"(n,3n)",1,2.378415311078766e-12
Ne22,"(n,4n)",1,0.0
Ne22,fission,1,0.0
Na22,"(n,gamma)",1,37.257872508670054
Na22,"(n,2n)",1,2.6321741408787096e-06
Na22,"(n,p)",1,4260.075984691699
Na22,"(n,a)",1,4.338958951213679
Na22,"(n,3n)",1,0.0
Na22,"(n,4n)",1,0.0
Na22,fission,1,0.0
Na23,"(n,gamma)",1,0.07966927335537681
Na23,"(n,2n)",1,2.523914734927361e-06
Na23,"(n,p)",1,0.00041807690479562826
Na23,"(n,a)",1,0.00019589293503648045
Na23,"(n,3n)",1,0.0
Na23,"(n,4n)",1,0.0
Na23,fission,1,0.0
Mg24,"(n,gamma)",1,0.00782508663785229
Mg24,"(n,2n)",1,2.8060287583163794e-08
Mg24,"(n,p)",1,0.00047332911206840667
Mg24,"(n,a)",1,0.0015019888719401467
Mg24,"(n,3n)",1,0.0
Mg24,"(n,4n)",1,0.0
Mg24,fission,1,0.0
Mg25,"(n,gamma)",1,0.028421019689929005
Mg25,"(n,2n)",1,0.00031459604608748116
Mg25,"(n,p)",1,0.000471576651332727
Mg25,"(n,a)",1,0.004624882620934025
Mg25,"(n,3n)",1,0.0
Mg25,"(n,4n)",1,0.0
Mg25,fission,1,0.0
Mg26,"(n,gamma)",1,0.005753048786911246
Mg26,"(n,2n)",1,3.1802698405149825e-05
Mg26,"(n,p)",1,7.630653259259807e-06
Mg26,"(n,a)",1,5.842806930013088e-05
Mg26,"(n,3n)",1,0.0
Mg26,"(n,4n)",1,0.0
Mg26,fission,1,0.0
Al26_m1,"(n,gamma)",1,0.010769013547504385
Al26_m1,"(n,2n)",1,8.510698900913234e-07
Al26_m1,"(n,p)",1,213.49489298962808
Al26_m1,"(n,a)",1,44.11890195722495
Al26_m1,"(n,3n)",1,0.0
Al26_m1,"(n,4n)",1,0.0
Al26_m1,fission,1,0.0
Al27,"(n,gamma)",1,0.03510169412449044
Al27,"(n,2n)",1,1.1291459588082731e-06
Al27,"(n,p)",1,0.0011020128764713635
Al27,"(n,a)",1,0.00021181335613139335
Al27,"(n,3n)",1,0.0
Al27,"(n,4n)",1,0.0
Al27,fission,1,0.0
Si28,"(n,gamma)",1,0.02517620505540012
Si28,"(n,2n)",1,3.443003009466952e-10
Si28,"(n,p)",1,0.001988334748892431
Si28,"(n,a)",1,0.0008930511260556468
Si28,"(n,3n)",1,0.0
Si28,"(n,4n)",1,0.0
Si28,fission,1,0.0
Si29,"(n,gamma)",1,0.018617434478370963
Si29,"(n,2n)",1,4.7337428689313876e-05
Si29,"(n,p)",1,0.0010797723590250884
Si29,"(n,a)",1,0.001741828253688209
Si29,"(n,3n)",1,0.0
Si29,"(n,4n)",1,0.0
Si29,fission,1,0.0
Si30,"(n,gamma)",1,0.034285378841771096
Si30,"(n,2n)",1,4.338125441982193e-05
Si30,"(n,p)",1,9.325064827090986e-06
Si30,"(n,a)",1,4.039057308507216e-05
Si30,"(n,3n)",1,0.0
Si30,"(n,4n)",1,0.0
Si30,fission,1,0.0
Si31,"(n,gamma)",1,0.007055682125997048
Si31,"(n,2n)",1,0.0016074245468616574
Si31,"(n,p)",1,2.3896003235999335e-06
Si31,"(n,a)",1,7.519516522356131e-05
Si31,"(n,3n)",1,0.0
Si31,"(n,4n)",1,0.0
Si31,fission,1,0.0
Si32,"(n,gamma)",1,0.08352820342854379
Si32,"(n,2n)",1,0.00016805439349773055
Si32,"(n,p)",1,3.4077839421668665e-08
Si32,"(n,a)",1,3.926315376357834e-07
Si32,"(n,3n)",1,0.0
Si32,"(n,4n)",1,0.0
Si32,fission,1,0.0
P31,"(n,gamma)",1,0.027352042463364756
P31,"(n,2n)",1,1.0091136827363972e-06
P31,"(n,p)",1,0.009630956394420805
P31,"(n,a)",1,0.0005774010755783707
P31,"(n,3n)",1,0.0
P31,"(n,4n)",1,0.0
P31,fission,1,0.0
S32,"(n,gamma)",1,0.07778763561162509
S32,"(n,2n)",1,4.460598831072677e-09
S32,"(n,p)",1,0.019666328859122464
S32,"(n,a)",1,0.02775206111122393
S32,"(n,3n)",1,0.0
S32,"(n,4n)",1,0.0
S32,fission,1,0.0
S33,"(n,gamma)",1,0.05133999227784662
S33,"(n,2n)",1,7.399507958817326e-05
S33,"(n,p)",1,0.018731159586775365
S33,"(n,a)",1,0.1720054202392018
S33,"(n,3n)",1,0.0
S33,"(n,4n)",1,0.0
S33,fission,1,0.0
S34,"(n,gamma)",1,0.03273386251831564
S34,"(n,2n)",1,1.970865136083353e-05
S34,"(n,p)",1,0.00023111143874641034
S34,"(n,a)",1,0.0009284609077020625
S34,"(n,3n)",1,0.0
S34,"(n,4n)",1,0.0
S34,fission,1,0.0
S35,"(n,gamma)",1,0.04760117857430263
S35,"(n,2n)",1,0.0008532304946268699
S35,"(n,p)",1,6.63561198586069e-05
S35,"(n,a)",1,0.002044766933423112
S35,"(n,3n)",1,0.0
S35,"(n,4n)",1,0.0
S35,fission,1,0.0
S36,"(n,gamma)",1,0.024634540249000542
S36,"(n,2n)",1,0.00010569777937367827
S36,"(n,p)",1,2.2632962193317275e-07
S36,"(n,a)",1,1.603706362304494e-05
S36,"(n,3n)",1,0.0
S36,"(n,4n)",1,0.0
S36,fission,1,0.0
Cl35,"(n,gamma)",1,6.31218853387049
Cl35,"(n,2n)",1,3.8215118834396196e-07
Cl35,"(n,p)",1,0.10815262425231906
Cl35,"(n,a)",1,0.0056299202246947785
Cl35,"(n,3n)",1,0.0
Cl35,"(n,4n)",1,0.0
Cl35,fission,1,0.0
Cl36,"(n,gamma)",1,1.489227806964289
Cl36,"(n,2n)",1,0.00012623505137781613
Cl36,"(n,p)",1,30.830169308973762
Cl36,"(n,a)",1,0.9526686499039102
Cl36,"(n,3n)",1,0.0
Cl36,"(n,4n)",1,0.0
Cl36,fission,1,0.0
Cl37,"(n,gamma)",1,0.06368549437212798
Cl37,"(n,2n)",1,5.471697166825663e-05
Cl37,"(n,p)",1,5.1640234002168384e-05
Cl37,"(n,a)",1,0.00011212578691656376
Cl37,"(n,3n)",1,0.0
Cl37,"(n,4n)",1,0.0
Cl37,fission,1,0.0
Ar36,"(n,gamma)",1,0.745202905455823
Ar36,"(n,2n)",1,2.8743147863008225e-08
Ar36,"(n,p)",1,0.04362124073298862
Ar36,"(n,a)",1,0.02499151035124834
Ar36,"(n,3n)",1,0.0
Ar36,"(n,4n)",1,0.0
Ar36,fission,1,0.0
Ar37,"(n,gamma)",1,0.2965552808510981
Ar37,"(n,2n)",1,6.873483189887605e-05
Ar37,"(n,p)",1,10.251833810567824
Ar37,"(n,a)",1,288.202691606611
Ar37,"(n,3n)",1,0.0
Ar37,"(n,4n)",1,0.0
Ar37,fission,1,0.0
Ar38,"(n,gamma)",1,0.12016430252364176
Ar38,"(n,2n)",1,1.816342041798072e-05
Ar38,"(n,p)",1,0.0003482641121671579
Ar38,"(n,a)",1,0.001716976902509004
Ar38,"(n,3n)",1,0.0
Ar38,"(n,4n)",1,0.0
Ar38,fission,1,0.0
Ar39,"(n,gamma)",1,0.011629716588868615
Ar39,"(n,2n)",1,0.0006104762632617453
Ar39,"(n,p)",1,9.942766120319754e-05
Ar39,"(n,a)",1,1.4667968838229182
Ar39,"(n,3n)",1,0.0
Ar39,"(n,4n)",1,0.0
Ar39,fission,1,0.0
Ar40,"(n,gamma)",1,0.0965115860638225
Ar40,"(n,2n)",1,9.266928810433807e-05
Ar40,"(n,p)",1,3.93126815270837e-06
Ar40,"(n,a)",1,3.054899756287541e-05
Ar40,"(n,3n)",1,2.3650609174999434e-09
Ar40,"(n,4n)",1,0.0
Ar40,fission,1,0.0
Ar41,"(n,gamma)",1,0.09360017912550155
Ar41,"(n,2n)",1,0.0014336449493143636
Ar41,"(n,p)",1,6.829588389658424e-06
Ar41,"(n,a)",1,1.8688696114993374e-05
Ar41,"(n,3n)",1,4.1892322518434475e-08
Ar41,"(n,4n)",1,0.0
Ar41,fission,1,0.0
K39,"(n,gamma)",1,0.3120567977618829
K39,"(n,2n)",1,3.314964216939407e-07
K39,"(n,p)",1,0.032720371242930334
K39,"(n,a)",1,0.012200048633794638
K39,"(n,3n)",1,0.0
K39,"(n,4n)",1,0.0
K39,fission,1,0.0
K40,"(n,gamma)",1,4.378108233030577
K40,"(n,2n)",1,0.00018155684485027227
K40,"(n,p)",1,0.6071354550489638
K40,"(n,a)",1,0.1214371221056597
K40,"(n,3n)",1,0.0
K40,"(n,4n)",1,0.0
K40,fission,1,0.0
K41,"(n,gamma)",1,0.2240042516411696
K41,"(n,2n)",1,5.551859878165366e-06
K41,"(n,p)",1,0.0005690121669721323
K41,"(n,a)",1,0.00026121716159397117
K41,"(n,3n)",1,0.0
K41,"(n,4n)",1,0.0
K41,fission,1,0.0
Ca40,"(n,gamma)",1,0.062233969200764606
Ca40,"(n,2n)",1,5.249160125919105e-09
Ca40,"(n,p)",1,0.03068823757783159
Ca40,"(n,a)",1,0.011503282320090635
Ca40,"(n,3n)",1,0.0
Ca40,"(n,4n)",1,0.0
Ca40,fission,1,0.0
Ca41,"(n,gamma)",1,0.022387131625169792
Ca41,"(n,2n)",1,7.169143556826603e-05
Ca41,"(n,p)",1,3.9122956557983395
Ca41,"(n,a)",1,124.22082322681884
Ca41,"(n,3n)",1,0.0
Ca41,"(n,4n)",1,0.0
Ca41,fission,1,0.0
Ca42,"(n,gamma)",1,0.1029244630102931
Ca42,"(n,2n)",1,1.8781605494921514e-05
Ca42,"(n,p)",1,0.0010125478921251766
Ca42,"(n,a)",1,0.0006828461136294179
Ca42,"(n,3n)",1,0.0
Ca42,"(n,4n)",1,0.0
Ca42,fission,1,0.0
Ca43,"(n,gamma)",1,1.7210973789052013
Ca43,"(n,2n)",1,0.0002307007210409875
Ca43,"(n,p)",1,0.0008837077680092679
Ca43,"(n,a)",1,0.0008492331419617021
Ca43,"(n,3n)",1,0.0
Ca43,"(n,4n)",1,0.0
Ca43,fission,1,0.0
Ca44,"(n,gamma)",1,0.13097445368638222
Ca44,"(n,2n)",1,4.568367582225349e-05
Ca44,"(n,p)",1,2.587688338761774e-05
Ca44,"(n,a)",1,1.301675900325757e-05
Ca44,"(n,3n)",1,0.0
Ca44,"(n,4n)",1,0.0
Ca44,fission,1,0.0
Ca45,"(n,gamma)",1,2.175865187448427
Ca45,"(n,2n)",1,0.00040959725199907714
Ca45,"(n,p)",1,1.5123697044710476e-05
Ca45,"(n,a)",1,6.259540284274153e-06
Ca45,"(n,3n)",1,0.0
Ca45,"(n,4n)",1,0.0
Ca45,fission,1,0.0
Ca46,"(n,gamma)",1,0.10845237819688827
Ca46,"(n,2n)",1,0.00011112616714281797
Ca46,"(n,p)",1,1.2344230514145249e-06
Ca46,"(n,a)",1,9.013378190835038e-08
Ca46,"(n,3n)",1,0.0
Ca46,"(n,4n)",1,0.0
Ca46,fission,1,0.0
Ca47,"(n,gamma)",1,0.1050382418809322
